Title,Code / Notes,count,mean,std,min,25%,50%,75%,max
Family History,LL CC & post,4.0,0.9875,0.7936233130162966,0.35833333333333334,0.6270833333333333,0.7208333333333333,1.0812499999999998,2.15
Family History,LL PP,3.0,1.0,0.57282196186948,0.375,0.75,1.125,1.3125,1.5
Family History,LL pp,2.0,0.34375,0.30935921676911454,0.125,0.234375,0.34375,0.453125,0.5625
Family History,transferred Flugel,1.0,0.39375,,0.39375,0.39375,0.39375,0.39375,0.39375
Family History OS.,LL,9.0,0.48379629629629634,0.9470307087879176,0.08333333333333334,0.09375,0.25,0.25,3.0
Family History OS.,LL  ,1.0,4.75,,4.75,4.75,4.75,4.75,4.75
Family History OS.,LL (1 Rtd 1 CF),1.0,0.5,,0.5,0.5,0.5,0.5,0.5
Family History OS.,LL (1 pd 7563),1.0,0.5,,0.5,0.5,0.5,0.5,0.5
Family History OS.,LL (1 rtd 1 CF),1.0,0.5,,0.5,0.5,0.5,0.5,0.5
Family History OS.,LL (17 retd 8 chd),1.0,6.25,,6.25,6.25,6.25,6.25,6.25
Family History OS.,LL (5 chd 10/2),1.0,2.5,,2.5,2.5,2.5,2.5,2.5
Family History OS.,LL (See 7428),1.0,1.5,,1.5,1.5,1.5,1.5,1.5
Family History OS.,LL (see 7395),1.0,1.5,,1.5,1.5,1.5,1.5,1.5
Family History OS.,LL (see 7525),1.0,6.0,,6.0,6.0,6.0,6.0,6.0
Family History OS.,LL (see 7589),1.0,0.25,,0.25,0.25,0.25,0.25,0.25
O. S.,(see 27544) LL,1.0,1.5,,1.5,1.5,1.5,1.5,1.5
O. S.,(see 27856) (190 changed 60 returned) | LL @ 9/4,1.0,59.375,,59.375,59.375,59.375,59.375,59.375
O. S.,LL,3.0,0.09375,0.16237976320958225,0.0,0.0,0.0,0.140625,0.28125
O. S.,LL & post,1.0,0.30416666666666664,,0.30416666666666664,0.30416666666666664,0.30416666666666664,0.30416666666666664,0.30416666666666664
ON SALE - The Dark Island,(see 6048),1.0,0.5,,0.5,0.5,0.5,0.5,0.5
ON SALE - The Dark Island,LL,15.0,3.966527777777778,12.754278199589598,0.11666666666666667,0.25,0.5,0.875,50.0
ON SALE - The Dark Island,LL ,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
ON SALE - The Dark Island,LL (1 retd 1 ck),1.0,0.5,,0.5,0.5,0.5,0.5,0.5
ON SALE - The Dark Island,LL (1 retd 2 ck),2.0,0.75,0.0,0.75,0.75,0.75,0.75,0.75
ON SALE - The Dark Island,LL (2 retd 1 ck),1.0,0.75,,0.75,0.75,0.75,0.75,0.75
ON SALE - The Dark Island,LL (4 retd 2 ck),1.0,1.5,,1.5,1.5,1.5,1.5,1.5
ON SALE - The Dark Island,LL (see 5862),1.0,0.75,,0.75,0.75,0.75,0.75,0.75
ON SALE - The Dark Island,LL (see 5959),3.0,7.0,5.07444578254611,2.5,4.25,6.0,9.25,12.5
ON SALE - The Dark Island,LL (see 5959) | 20cl. 5 pd,1.0,6.25,,6.25,6.25,6.25,6.25,6.25
ON SALE - The Dark Island,LL (see 5980),1.0,0.5625,,0.5625,0.5625,0.5625,0.5625,0.5625
ON SALE - The Dark Island,LL (see 6028),1.0,0.25,,0.25,0.25,0.25,0.25,0.25
ON SALE - The Dark Island,LL (see 6046),1.0,0.5,,0.5,0.5,0.5,0.5,0.5
ON SALE - The Dark Island,LL (see 6065),1.0,0.5,,0.5,0.5,0.5,0.5,0.5
ON SALE - The Dark Island,LL (see 6082),1.0,0.25,,0.25,0.25,0.25,0.25,0.25
ON SALE - The Dark Island,LL CC (see 6020),1.0,0.1625,,0.1625,0.1625,0.1625,0.1625,0.1625
